Time,Time.Time,Time.Time,Time.Random
1.0249651000000313,0.0,10.0,0.06407320788342574
2.0366255000000137,0.0,11.0,0.724312535355494
3.039108899999974,0.0,12.0,0.41134812116640207
4.061741299999994,0.0,13.0,0.809494938345683
5.065812400000027,0.0,14.0,0.39412231954516486
6.075845500000014,0.0,15.0,0.6339639694198084
7.085613700000067,0.0,16.0,0.4913409451578631
8.101717800000074,0.0,17.0,0.9749364404444428
9.117122100000074,0.0,18.0,0.9373046094043251
10.131203400000004,0.0,19.0,0.7613416726235506
